,team_ids,round_ids,shots_total,shots_ongoal,shots_offgoal,shots_insidebox,shots_outsidebox,passes_total,passes_percentage,attacks_total,attacks_dangerous,fouls,corners,possession_time,yellow_cards,red_cards,saves,substitutions,tackles,penalties,injuries,results
0,273,194968,-11,-2.0,-9.0,-4.0,-6.0,-202,-10.469999999999999,-18,-15,6.0,-4.0,-22,1.0,1.0,2.0,3.0,-8,,,-1
1,62,194968,11,2.0,9.0,4.0,6.0,202,10.469999999999999,18,15,-6.0,4.0,22,-1.0,-1.0,-2.0,-3.0,8,,,1
2,496,194968,-5,0.0,-5.0,-1.0,-5.0,-44,-5.460000000000001,-42,-17,,-3.0,-8,1.0,,2.0,-1.0,-6,,,1
3,258,194968,5,0.0,5.0,1.0,5.0,44,5.460000000000001,42,17,,3.0,8,-1.0,,-2.0,1.0,6,,,-1
4,282,194968,4,-2.0,6.0,3.0,2.0,201,16.080000000000005,27,2,2.0,0.0,22,-3.0,,0.0,0.0,-2,1.0,,0
5,734,194968,-4,2.0,-6.0,-3.0,-2.0,-201,-16.080000000000005,-27,-2,-2.0,0.0,-22,3.0,,0.0,0.0,2,-1.0,,0
6,66,194968,-2,2.0,-4.0,2.0,-3.0,-78,-8.39,-62,-9,,1.0,-12,0.0,,1.0,0.0,-3,,,1
7,180,194968,2,-2.0,4.0,-2.0,3.0,78,8.39,62,9,,-1.0,12,0.0,,-1.0,0.0,3,,,-1
8,53,194968,20,11.0,9.0,14.0,4.0,513,33.47,45,14,0.0,3.0,60,-2.0,,-8.0,1.0,-20,,,1
9,338,194968,-20,-11.0,-9.0,-14.0,-4.0,-513,-33.47,-45,-14,0.0,-3.0,-60,2.0,,8.0,-1.0,20,,,-1
10,246,194968,-5,2.0,-7.0,-1.0,-5.0,-146,-14.89,-69,-13,14.0,-3.0,-20,2.0,,-1.0,0.0,7,0.0,1.0,1
11,309,194968,5,-2.0,7.0,1.0,5.0,146,14.89,69,13,-14.0,3.0,20,-2.0,,1.0,0.0,-7,0.0,-1.0,-1
12,338,194969,1,3.0,-2.0,0.0,0.0,-164,-17.83,-21,7,-1.0,8.0,-24,,,0.0,2.0,4,,,-1
13,246,194969,-1,-3.0,2.0,0.0,0.0,164,17.83,21,-7,1.0,-8.0,24,,,0.0,-2.0,-4,,,1
14,258,194969,-5,-5.0,0.0,-11.0,3.0,30,5.850000000000001,42,7,2.0,1.0,4,0.0,,3.0,3.0,4,0.0,,-1
15,66,194969,5,5.0,0.0,11.0,-3.0,-30,-5.850000000000001,-42,-7,-2.0,-1.0,-4,0.0,,-3.0,-3.0,-4,0.0,,1
16,309,194969,8,3.0,5.0,6.0,1.0,151,17.389999999999993,30,18,2.0,-1.0,20,2.0,,-2.0,1.0,1,,,-1
17,282,194969,-8,-3.0,-5.0,-6.0,-1.0,-151,-17.389999999999993,-30,-18,-2.0,1.0,-20,-2.0,,2.0,-1.0,-1,,,1
18,62,194969,23,10.0,13.0,17.0,8.0,441,23.189999999999998,62,71,,13.0,46,,,-8.0,0.0,-12,,,1
19,496,194969,-23,-10.0,-13.0,-17.0,-8.0,-441,-23.189999999999998,-62,-71,,-13.0,-46,,,8.0,0.0,12,,,-1
20,180,194969,-9,-1.0,-8.0,2.0,-13.0,-338,-28.479999999999997,-25,-34,1.0,-1.0,-40,1.0,,0.0,-2.0,0,1.0,0.0,0
21,53,194969,9,1.0,8.0,-2.0,13.0,338,28.479999999999997,25,34,-1.0,1.0,40,-1.0,,0.0,2.0,0,-1.0,0.0,0
22,282,194970,2,-2.0,4.0,-1.0,3.0,38,6.25,8,12,1.0,4.0,6,1.0,,1.0,2.0,-2,,-1.0,-1
23,66,194970,-2,2.0,-4.0,1.0,-3.0,-38,-6.25,-8,-12,-1.0,-4.0,-6,-1.0,,-1.0,-2.0,2,,1.0,1
24,309,194970,-2,-3.0,1.0,-3.0,-1.0,-36,-3.0600000000000023,-7,-25,,-2.0,-10,1.0,,4.0,0.0,2,,,0
25,258,194970,2,3.0,-1.0,3.0,1.0,36,3.0600000000000023,7,25,,2.0,10,-1.0,,-4.0,0.0,-2,,,0
26,246,194970,2,-1.0,3.0,0.0,2.0,58,4.200000000000003,-25,-27,2.0,0.0,4,1.0,,0.0,4.0,-6,1.0,,0
27,180,194970,-2,1.0,-3.0,0.0,-2.0,-58,-4.200000000000003,25,27,-2.0,0.0,-4,-1.0,,0.0,-4.0,6,-1.0,,0
28,62,194970,9,2.0,7.0,5.0,6.0,528,20.340000000000003,56,23,3.0,4.0,50,,,0.0,2.0,-2,,,1
29,734,194970,-9,-2.0,-7.0,-5.0,-6.0,-528,-20.340000000000003,-56,-23,-3.0,-4.0,-50,,,0.0,-2.0,2,,,-1
30,246,194971,-1,-2.0,1.0,2.0,-3.0,44,-0.6899999999999977,33,2,,-2.0,4,1.0,,1.0,2.0,0,,,-1
31,282,194971,1,2.0,-1.0,-2.0,3.0,-44,0.6899999999999977,-33,-2,,2.0,-4,-1.0,,-1.0,-2.0,0,,,1
32,338,194971,-6,-3.0,-3.0,0.0,-7.0,54,6.729999999999997,-25,38,,-6.0,8,,,1.0,2.0,2,,,-1
